اِخْتَارَ - يَخْتَارُ,memilih
اِرْتَفَعَ - يَرْتَفِعُ,meningkat
اِسْتَحَمَّ - يَسْتَحِمُّ,mandi
اِسْتَطَاعَ - يَسْتَطِيْعُ,bisa/ dapat
اِسْتَغْرَقَ - يَسْتَغْرِقُ,memerlukan
اِسْتَيْقَظَ - يَسْتَيْقِظ,bangun
اِشْتَرَى - يَشْتَرِي,membeli
اِعْتَمَرَ - يَعْتَمِرُ,berumroh
اِقْتَرَبَ - يَقْتَرِبُ,mendekat
اِنْتَظَرَ - يَنْتَظِرُ,menanti
اِنْتَقَلَ - يَنْتَقِلُ,berpindah
اِنْتَهَى - يَنْتَهِيْ,habis
أَحَبَّ - يُحِبُّ,mencintai
أَخَذَ - يَأْخُذُ,mengambil
أَرَادَ - يُرِيْدُ,ingin
أَشْعَلَ - يُشْعِلُ,menyalakan
أَصَابَ - يُصِيْبُ,mengenai
أَعْطَى - يُعْطِيْ,memberi
أَقَامَ - يُقِيْمُ,bermukim
أَكَلَ - يَأْكُلُ,makan
أَمْطَرَ - يُمْطِرُ,turun hujan
أَيْقَظَ - يُوْقِظُ,membangunkan
بَاعَ - يَبِيْعُ,menjual
بَدَأَ - يَبْدَأُ,memulai
بَقِيَ - يَبْقَى,tetap/sisa
تَرَكَ - يَتْرُقُ,meninggalkan
تَزَوَّجَ - يَتَزَوَّجُ,menikah
تَغَيَّبَ - يَتَغَيَّبُ,tidak hadir
تَكَلَّمَ - يَتَكَلَّمُ,berbicara
تَوَضَأَ - يَتَوَضَأُ,berwudhu
ثَأَرَ - يَثْأُرُ,membalas
ثَبَتَ - يَثْبُتُ,tetap
جَادَلَ - يُجَادِلُ,mendebat
جَاهَدَ - يُجَاهِدُ,berjihad/sungguh
جَاهَرَ - يُجَاهِرُ,menampakkan
جَاوَزَ - يُجَاوِزُ,melewati
ًجَلَسَ - يَجْلِس,duduk
حَجَّ - يَحُجُّ,haji
حَزِنَ - يَحْزَنُ,sedih
حَسِبَ - يَحْسُبُ,menghitung
حَضَرَ - يَحْضُرُ,hadir
حَلَقَ - يَحْلُقُ,mencukur
خَانَ - يَخُوْنُ,berkhianat
خَرَجَ - يَخْرُجُ,keluar
خَلَعَ - يَخْلَعُ,melepas
دنى - يدنو,mendekat
دَخَلَ - يَدْخُلُ,masuk
دار - يدور,berkeliling
دَرَّسَ - يُدَرِّسُ,mengajar
دَرَسَ - يَدْرُسُ,belajar
دَفَعَ - يَدْفَعُ,membayar
ذَاقَ - يَذُوْقُ,mencicipi
ذَبَحَ - يَذْبَحُ,menyembelih
ذَهَبَ - يَذْهَبُ,pergi
رَأَى - يَرَى,melihat
رَمَى - يَرْمِيْ,melempar
ربى - يربي,memelihara/mentarbiyah
زَادَ - يَزِيْدُ,bertambah
زَارَ - يَزُوْرُ,mengunjungi
زَيَّنَ - يُزَيِّنُ,menghiasi
سَاعَدَ - يُسَاعِدُ,membantu
سَافَرَ - يُسَافِرُ,pergi
سَالَ - يَسِيْلُ,mengalir
سَعَى - يَسْعَى,bersa'i
سَكَنَ - يَسْكِنُ,tinggal
سَمِعَ - يَسْمَعُ,mendengar
شَاهَدَ - يُشَاهِدُ,menyaksikan
شَرِبَ - يَشْرَبُ,meminum
شَعَرَ - يَشْعُرُ,merasakan
صَامَ - يَصُوْمُ,puasa
صَلَّى - يُصَلِّي,sholat
ضَاعَ - يَضِيْعُ,hilang
ضَحِكَ - يَضْحَكُ,tertawa
ضَرَبَ - يَضْرِبُ,memukul
طَافَ - يَطُوْفُ,bertowaf
طَبَخَ - يَطْبُخُ,memasak
طَلَبَ - يَطْلُبُ,meminta
ظَلَمَ - يَظْلِمُ,dzalim
ظَنَّ - يَظُنُّ,menyangka
ظَهَرَ - يَظْهَرُ,tampak
عَمِلَ - يَعْمَلُ,bekerja
غَادَرَ - يُغَادِرُ,meninggalkan
غَسَلَ - يَغْسِلُ,mencuci
فَتَحَ - يَفْتَحُ,membuka
فَحَصَ - يَفْحَصُ,mendiagnosa
فَضَّلَ - يُفَضِّلُ,lebih memilih
فَعَلَ - يَفْعَلُ,melakukan
فَقَدَ - يَفْقِدُ,kehilangan
قَابَلَ - يُقَابِلُ,menemui
قَالَ - يَقُوْلُ,berkata
قَرَأَ - يَقْرَأُ,membaca
قَسَّمَ - يُقَسِّمُ,membagi
قَضَى - يَقْضِيْ,menghabiskan waktu
قَطَعَ - يَقْطَعُ,memotong
قَطَفَ - يَقْطَفُ,memetik
كَتَبَ - يَكْتُبُ,menulis
كَنَسَ - يَكْنُسُ,menyapu
كَوَى - يَكْوِيْ,menyetrika
كبر - يكبر,membesar
نَامَ - يَنَامُ,tidur
نَصَحَ - يَنْصَحُ,menasehati
نَظَرَ - يَنْظُرُ,melihat
نَفَخَ - يَنْفُخُ,meniup
وَصَل - يَصِلُ (إلى),sampai
وَضَعَ - يَضَعُ,meletakkan
